No,AccountID,Name,Email,JoinDateTime,AdminRole,ProvisionRole,SearchString
1,725967386315,PTAW-IAC-Backup-CorporateCommon-Environment-01,ptawiacbak.common@petronas.com.my,7/2/2022 3:50,PTAW_IAC_Backup_CorporateCommon_ADMIN_ROLE,PTAW_IAC_Backup_CorporateCommon_PROVISION_ROLE,725967386315_PTAW-IAC-Backup-CorporateCommon-Environment-01
2,343454698884,PTAW-IAC-Backup-DownStream-Environment-01,ptawiacbak.dnst@petronas.com.my,7/2/2022 3:50,PTAW_IAC_Backup_DownStream_ADMIN_ROLE,PTAW_IAC_Backup_DownStream_PROVISION_ROLE,343454698884_PTAW-IAC-Backup-DownStream-Environment-01
3,878009722955,PTAW-IAC-Backup-GasNewEnergy-Environment-01,ptawiacbak.gne@petronas.com.my,7/2/2022 3:49,PTAW_IAC_Backup_GasNewEnergy_ADMIN_ROLE,PTAW_IAC_Backup_GasNewEnergy_PROVISION_ROLE,878009722955_PTAW-IAC-Backup-GasNewEnergy-Environment-01
4,966700439730,PTAW-IAC-Backup-PDnT-Environment-01,ptawiacbak.pdnt@petronas.com.my,7/2/2022 3:49,PTAW_IAC_Backup_PDnT_ADMIN_ROLE,PTAW_IAC_Backup_PDnT_PROVISION_ROLE,966700439730_PTAW-IAC-Backup-PDnT-Environment-01
5,575304134896,PTAW-IAC-Backup-TestProject-Environment-01,ismail.azman@petronas.com.my,3/3/2022 16:45,PTAW_IAC_Backup_TestProject_ADMIN_ROLE,PTAW_IAC_Backup_TestProject_PROVISION_ROLE,575304134896_PTAW-IAC-Backup-TestProject-Environment-01
6,960175574809,PTAW-IAC-Backup-UpStream-Environment-01,ptawiacbak.upst@petronas.com.my,7/2/2022 3:49,PTAW_IAC_Backup_UpStream_ADMIN_ROLE,PTAW_IAC_Backup_UpStream_PROVISION_ROLE,960175574809_PTAW-IAC-Backup-UpStream-Environment-01
7,452450160348,PTAW-IAC-NonPROD-AlphaLNG-Environment-01,ptawiacnprod.alng@petronas.com.my,9/23/2022 1:31,PTAW_IAC_NonPROD_AlphaLNG_ADMIN_ROLE,PTAW_IAC_NonPROD_AlphaLNG_PROVISION_ROLE,452450160348_PTAW-IAC-NonPROD-AlphaLNG-Environment-01
8,751040003272,PTAW-IAC-NonPROD-Audit-Environment-01,ptawiacnonprod.audit@petronas.com.my,9/10/2021 12:09,PTAW_IAC_NonPROD_Audit_ADMIN_ROLE,PTAW_IAC_NonPROD_Audit_PROVISION_ROLE,751040003272_PTAW-IAC-NonPROD-Audit-Environment-01
9,240829245435,PTAW-IAC-NonPROD-Audit-Environment-01,ptawiactest.audit@petronas.com.my,9/14/2021 14:21,PTAW_IAC_NonPROD_Audit_ADMIN_ROLE,PTAW_IAC_NonPROD_Audit_PROVISION_ROLE,240829245435_PTAW-IAC-NonPROD-Audit-Environment-01
10,379414723002,PTAW-IAC-NonPROD-CorporateCommon-Environment-01,ptawiacnprod.common@petronas.com.my,7/1/2022 16:14,PTAW_IAC_NonPROD_CorporateCommon_ADMIN_ROLE,PTAW_IAC_NonPROD_CorporateCommon_PROVISION_ROLE,379414723002_PTAW-IAC-NonPROD-CorporateCommon-Environment-01
11,9612143196,PTAW-IAC-NonPROD-DownStream-Environment-01,ptawiacnprod.dnst@petronas.com.my,7/2/2022 3:51,PTAW_IAC_NonPROD_DownStream_ADMIN_ROLE,PTAW_IAC_NonPROD_DownStream_PROVISION_ROLE,9612143196_PTAW-IAC-NonPROD-DownStream-Environment-01
12,407331559142,PTAW-IAC-NonPROD-GasNewEnergy-Environment-01,ptawiacnprod.gne@petronas.com.my,7/2/2022 3:49,PTAW_IAC_NonPROD_GasNewEnergy_ADMIN_ROLE,PTAW_IAC_NonPROD_GasNewEnergy_PROVISION_ROLE,407331559142_PTAW-IAC-NonPROD-GasNewEnergy-Environment-01
13,329288211149,PTAW-IAC-NonPROD-InnovationLab-Environment-01,ptawiacnprod.dginnovationlab@petronas.com.my,10/17/2022 11:30,PTAW_IAC_NonPROD_InnovationLab_ADMIN_ROLE,PTAW_IAC_NonPROD_InnovationLab_PROVISION_ROLE,329288211149_PTAW-IAC-NonPROD-InnovationLab-Environment-01
14,705021408743,PTAW-IAC-NonPROD-Networking-Environment-01,ptawiacnonprod.network@petronas.com.my,9/10/2021 12:11,PTAW_IAC_NonPROD_Networking_ADMIN_ROLE,PTAW_IAC_NonPROD_Networking_PROVISION_ROLE,705021408743_PTAW-IAC-NonPROD-Networking-Environment-01
15,519957620651,PTAW-IAC-NonPROD-Networking-Environment-01,ptawiactest.network@petronas.com.my,9/14/2021 14:22,PTAW_IAC_NonPROD_Networking_ADMIN_ROLE,PTAW_IAC_NonPROD_Networking_PROVISION_ROLE,519957620651_PTAW-IAC-NonPROD-Networking-Environment-01
